,SAP_ProductID,LongDescr,Manufacturer,,,,,,,
WIT,,,Manufacturer,,,,,,,
7D4002550CH0015,7D4002-550.CH0015N,Waste & Overflow Kit CH,ASHS - Watco,,,,,,,
7D4003550BN0015,7D4003-550.BN0015N,Waste & Overflow Kit BN,ASHS - Watco,,,,,,,
7D4004550LB0015,7D4004-550.LB0015N,Waste & Overflow Kit LB,ASHS - Watco,,,,,,,
7D4005550MB0015,7D4005-550.MB0015N,Waste & Overflow Kit MB,ASHS - Watco,,,,,,,
7D4007550NA0009,7D4007-550.NA0009N,Extension Tube for Waste,ASHS - Watco,,,,,,,
SHOWER BASES & NO CAULK DRAINS,,,,,,,,,,
CUSTOM SHOWER PANS,,,,,,,,,,
,,,,,,,,,,
NO CAULK DRAINS,,,,,,,,,,
7D1002550CH0002,7D1002-550.CH0002N ,BRASS NO CAULK DRAIN,ASHS - Oatey (Big Box),,,,,,,
7D1004510NA0004,7D1004-510.NA0004N,PVC DRAIN,ASHS - Oatey (Big Box),,,,,,,
SHOE MOLDING,,,,,,,,,,
7T8000240WH0160,7T8000-240.WH0160N,Shoe Molding White,Trumbull,,,,,,,
7T8002240CE0160,7T8002-240.CE0160N,Shoe Molding Cameo,Trumbull,,,,,,,
7T8003240GL0160,7T8003-240.GL0160N,Shoe Molding Grey,Trumbull,,,,,,,
WHITE SHOWER PANS,,,,,,,,,,
B4063240WH3636C,7B4063-240.WH3636C,Ultra Low Base Center Drain 3636 White,Trumbull,,,,,,,
B4052240WH4832C,7B4052-240.WH4832C,48 x 32 Shower Base - Center Drain White,Trumbull,,,,,,,
B4060240WH4834C,7B4060-240.WH4834C,48 x 34 Ultra Low Base Center Drain - White,Trumbull,,,,,,,
B4056240WH4836C,7B4056-240.WH4836C,48 x 36 Shower Base - Center Drain - White,Trumbull,,,,,,,
B5000240WH6030L,7B5000-240.WH6030L,60 x 30 x 2.6 Ultra Low Bases - White,Trumbull,,,,,,,
B5003240WH6030R,7B5003-240.WH6030R,60 x 30 x 2.6 Ultra Low Bases - White,Trumbull,,,,,,,
B5006240WH6032L,7B5006-240.WH6032L,60 x 32 x 2.6 Ultra Low Bases - White,Trumbull,,,,,,,
B5009240WH6032R,7B5009-240.WH6032R,60 x 32 x 2.6 Ultra Low Bases - White,Trumbull,,,,,,,
7B4066240WH6032,7B4066-240.WH6032C,60x32 CTR DRAIN WHITE SHOWER,Trumbull,,,,,,,
B4048240WH6036C,7B4048-240.WH6036C,60 x 36 Shower Base - center drain - White,Trumbull,,,,,,,
LINEN SHOWER PANS,,,,,,,,,,
7B4070240LN3636,7B4070-240.LN3636C,Ultra Low 3636 Center Cameo,Trumbull,,,,,,,
7B4054240CE4832,7B4054-240.CE4832C,48 x 32 Shower Base - Center Drain- Cameo,Trumbull,,,,,,,
B4054240CE4832C,7B4054-240.CE4832C,48 x 32 Shower Base - Center Drain Cameo,Trumbull,,,,,,,
7B4058240CE4836,7B4058-240.CE4836C,48 x 36 Shower Base - Center Drain -Cameo,Trumbull,,,,,,,
B4058240CE4836C,7B4058-240.CE4836C,48 x 36 Shower Base - Center Drain  - Cameo,Trumbull,,,,,,,
7B4071240LN4834,7B4071-240.LN4834C,Ultra Low 4834 Center Cameo,Trumbull,,,,,,,
7B4072240LN6030,7B4072-240.LN6030R,Ultra Low 6030 RH Cameo,Trumbull,,,,,,,
7B4073240LN6030,7B4073-240.LN6030L,Ultra Low 6030 LH Cameo,Trumbull,,,,,,,
7B4074240LN6032,7B4074-240.LN6032R,Ultra Low 60X32 RH CAMEO BASE,Trumbull,,,,,,,
7B4075240LN6032,7B4075-240.LN6032L,Ultra Low 60X32 LH CAMEO BASE,Trumbull,,,,,,,
B4068240CE6032C,7B4068-240.CE6032C,60 X 32 SHOWER BASE - CENTER LINEN,Trumbull,,,,,,,
7B4076240LN6036,7B4076-240.LN6036C,Ultra Low 60X36 Center Drain  CAMEO BASE,Trumbull,,,,,,,
GREY SHOWER PANS,,,,,,,,,,
B4065240GR3636C,7B4065-240.GR3636C,36 x 36 CTR Gray Base,Trumbull,,,,,,,
7B4055240GR4832,7B4055-240.GR4832C,48 x 32 Shower Base - Center Drain,Trumbull,,,,,,,
B4062240GR4834C,7B4062-240.GR4834C,48 x 34 Center Grey Base,Trumbull,,,,,,,
7B4059240GR4836,7B4059-240.GR4836C,48 x 36 Shower Base - Center Drain- Grey,Trumbull,,,,,,,
B5002240GR6030L,7B5002-240.GR6030L,60 x 30 x 2.6 Ultra Low B,Trumbull,,,,,,,
B5005240GR6030R,7B5005-240.GR6030R,60 x 30 x 2.6 Ultra Low B,Trumbull,,,,,,,
B5008240GR6032L,7B5008-240.GR6032L,60 x 32 x 2.6 Ultra Low B,Trumbull,,,,,,,
B5011240GR6032R,7B5011-240.GR6032R,"60"" x 32"" x 2.6 Ultra Low",Trumbull,,,,,,,
7B4069240GR6032,7B4069-240.GR6032C,60X32 GREY CTR DRAIN,Trumbull,,,,,,,
